id,amis,chinese,sound,image
sentence10,"A: Ta’angayay kora loma’ haw? B: Cowa, cowa kata’angay kora loma’.",A: 那間房子很大嗎？ B: 不，那間房子不大。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_10.mp3,
sentence11,"A: Fa^edet anini haw? B: Cowa, cowa kafa^edet anini.",A: 今天熱嗎？ B: 不，今天不熱。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_11.mp3,
sentence12,"A: Minengneng to tilifi cangra to romi’ami’ad haw? B: Cowa, cowa pinengneng to tilifi cangra to romi’ami’ad",A: 他們天天看電視嗎？ B: 不，他們沒有天天看電視。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_12.mp3,
sentence13,"A: Mitiliday kiso to romi’ami’ad haw? B: Cowa,cowa pitilid kako to romi’ami’ad.",A: 你天天讀書嗎？ B: 不，我沒有天天讀書。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_13.mp3,
sentence14,"A: Mitiliday kiso haw? B: Cowa, cowa pitilid kako.",A: 你在讀書嗎？ B: 不，我沒有在讀書。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_14.mp3,
sentence15,"A: Ma’oraday to！ cidinayay kiso haw? B: Cowa, cowa kacidinay kako.",A: 下雨了！你帶著雨傘嗎？ B: 不，我沒帶著雨傘。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_15.mp3,
sentence16,"A: Ma’oraday ho haw? B: Cowa, awaay to ko’orad ano hatini.",A: 在下雨嗎？ B: 不，沒有在下雨！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_16.mp3,
sentence17,"A: Maolahay cingra tora tilid haw? B: Cowa,cowa kaolah cingra tora tilid.",A: 她喜歡那本書嗎？ B: 不，她不喜歡那本書。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_17.mp3,
sentence18,"A: Ma’ilolay kiso ci fofoan haw? B: Hay, ma’ilolay kako ci fofoan.",A: 你很想念祖母嗎？ B: 是，我很想念祖母。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_18.mp3,
sentence19,"A: Tayniay kamo to romi’ami’ad a malafi haw? B: Cowa, cowa katayni kami to romo’ami’ad a malafi .",A: 你們天天來這裡吃晚餐嗎？ B: 不，我們沒有天天來這裡吃晚餐。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_19.mp3,
sentence20,"A: Maolahay kora wawa a micoka haw? B: Cowa, cowa kaolah cingra a micoka.",A: 那個孩子喜歡畫圖嗎？ B: 不，他不喜歡畫圖。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_20.mp3,
sentence21,"A: Mafana’ay kora wawa a romadiw haw? B: Cowa,cowa kafana’ a romadiw cingra.",A: 那個孩子會唱歌嗎？ B: 不，他不會唱歌。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_21.mp3,
sentence22,"A: Tatayray kamo i kongkoan a romadiw haw? B: Cowa, cowa ko tatayra kami i kongkoan a romadiw.",A: 你們正要去學校唱歌嗎？ B: 不，我們不是要去學校唱歌。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_22.mp3,
sentence23,"A: Helek no lahok nga’ay kako masadak a misalama haw? B: Cowa,cowa kanga’ay kiso masadak a misalama.",A: 下午我可以出去玩嗎？(請求同意) B: 不，你不可以出去玩！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_23.mp3,
sentence24,"A: Matomesay to ko ’asilo nangra i kakoyodan haw? B: Cowa,cowa katomes ko ’asilo i kakoyodan nangra.",A: 他們的簍子裝滿了橘子嗎？ B: 不，他們的簍子沒有裝滿橘子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_24.mp3,
sentence25,A: Aka kafoti’! B: Cowa kafoti’ kako.,A: 別睡覺！ B: 我沒有在睡覺。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_25.mp3,
sentence26,"A: Aka pifohat to fawahan! B: Hay, mafana’ay to kako.",A: 別開門！ B: 我知道了！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_26.mp3,
sentence27,"A: Aka katawal minokay a malafi ! B: Hay, mafana’ay to kako.",A: 別忘記回來吃晚飯喔！ B: 我知道了！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/hengchun/5_27.mp3,
