id,amis,chinese,sound,image
sentence14,"A: Mimelaw haw kisu tu cudad? B: Caay,caay pimelaw kaku tu cudad.",A: 你在讀書嗎？ B: 不，我沒有在讀書。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_14.mp3,
sentence15,"A: Maurad tu！Sicacevaren haw kisu? B: Caay,caay kasicacevaren kaku.",A: 下雨了！你帶著雨傘嗎？ B: 不，我沒帶著雨傘。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_15.mp3,
sentence16,"A: Maurad tu haw? B: Caay,caay tu kaurad!",A: 在下雨嗎？ B: 不，沒有在下雨！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_16.mp3,
sentence17,"A: Maulah haw cira tira cudadan? B: Caay,caay kaulah cira tira cudadan.",A: 她喜歡那本書嗎？ B: 不，她不喜歡那本書。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_17.mp3,
sentence18,"A: Maurun haw kisu tu vayi? B: Hay,maurun kaku tu vayi.",A: 你很想念祖母嗎？ B: 是，我很想念祖母。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_18.mp3,
sentence19,"A: Saremiremiad sa haw kamu a malavi’ itini? B: Caay,caay kasaremiremiad sa kami a malavi’ itini.",A: 你們天天來這裡吃晚餐嗎？ B: 不，我們沒有天天來這裡吃晚餐。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_19.mp3,
sentence20,"A: Maulah haw a mikulit kira wawa? B: Caay,caay kaulah a mikulit kira wawa.",A: 那個孩子喜歡畫圖嗎？ B: 不，他不喜歡畫圖。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_20.mp3,
sentence21,"A: Mavana’ haw kira wawa a remadiw? B: Caay,mavukil a remadiw cira.",A: 那個孩子會唱歌嗎？ B: 不，他不會唱歌。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_21.mp3,
sentence22,"A: A tayra haw kamu i cacudadan a remadiw ? B: Caay,caay katayra kami i cacudadan a remadiw.",A: 你們要去學校唱歌嗎？ B: 不，我們不是要去學校唱歌。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_22.mp3,
sentence23,"A: I herek nu lahuk mangaay tu haw kaku a mihulul? B: Aka,akakatahekal kisu a mihulul!",A: 下午我可以出去玩嗎？(請求同意) B: 不，你不可以出去玩！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_23.mp3,
sentence24,"A: Matumes haw nu kama ku varuru nu heni? B: Caay,caay katumes nu kama ku varuru nu heni.",A: 他們的簍子裝滿了橘子嗎？ B: 不，他們的簍子沒有裝滿橘子。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_24.mp3,
sentence25,A: Aka kavuti’！ B: Caay kavuti’ kaku.,A: 別睡覺！ B: 我沒有在睡覺。,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_25.mp3,
sentence26,A: Aka pivawah tu sasaedev! B: Mavana’ tu kaku!,A: 別開門！ B: 我知道了！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_26.mp3,
sentence27,A: Aka kapawan a taluma’ a malavi’! B: Mavana’ tu kaku!,A: 別忘記回來吃晚飯喔！ B: 我知道了！,https://res.cloudinary.com/dm1ksvptk/video/upload/amis/sentence/negative/nanshi/5_27.mp3,
